"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION"
"BSE Limited","0","73.79","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174582_770754_18012023122156_WEB.xml"
"FSN E-Commerce Ventures Limited","52.34","47.66","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174852_772290_18012023081215_WEB.xml"
"Tata Coffee Limited","57.48","42.52","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174853_772294_18012023081436_WEB.xml"
"Banswara Syntex Limited","56.3","43.7","0","-","31-DEC-2022","07-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173495_757479_07012023112038_WEB.xml"
"Mangalore Refinery and Petrochemicals Limited","88.58","11.42","0","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173523_758087_09012023104854_WEB.xml"
"Kalyani Commercials Limited","53.14","46.86","0","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173524_758093_09012023105314_WEB.xml"
"Ambuja Cements Limited","63.22","36.78","0","-","31-DEC-2022","07-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173491_757429_07012023101201_WEB.xml"
"Compuage Infocom Limited","42.65","57.35","0","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173521_758055_09012023101508_WEB.xml"
"Divi's Laboratories Limited","51.94","48.06","0","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173522_758059_09012023103045_WEB.xml"
"Andhra Cements Limited","68.73","31.27","0","-","31-DEC-2022","07-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173492_757453_07012023104623_WEB.xml"
"Murudeshwar Ceramics Limited","72.65","27.35","0","-","31-DEC-2022","07-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173493_757459_07012023105833_WEB.xml"
"Plastiblends India Limited","63.6","36.4","0","-","31-DEC-2022","05-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173412_756027_05012023124718_WEB.xml"
"Butterfly Gandhimathi Appliances Limited","82.78","17.22","0","-","31-DEC-2022","05-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173434_756378_05012023061523_WEB.xml"
"Huhtamaki India Limited","67.73","32.27","0","-","31-DEC-2022","05-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173435_756398_05012023063045_WEB.xml"
"Fineotex Chemical Limited","65","35","0","-","31-DEC-2022","05-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173437_756405_05012023063922_WEB.xml"
"Alankit Limited","54.86","45.14","0","-","31-DEC-2022","06-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173463_756934_06012023035919_WEB.xml"
"Emami Limited","54.27","45.73","0","-","31-DEC-2022","04-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173396_755542_04012023021054_WEB.xml"
"Techno Electric & Engineering Company Limited","61.16","38.84","0","-","31-DEC-2022","04-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173397_755571_04012023025729_WEB.xml"
"OnMobile Global Limited","48.08","51.92","0","-","31-DEC-2022","04-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173398_755589_04012023033821_WEB.xml"
"Affle (India) Limited","59.89","40.05","0.06","-","31-DEC-2022","04-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173400_755676_04012023050019_WEB.xml"
"Integra Essentia Limited","20.81","79.19","0","-","31-DEC-2022","04-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173402_755793_04012023063253_WEB.xml"
"Vineet Laboratories Limited","35.96","64.04","0","-","31-DEC-2022","04-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173403_755795_04012023063332_WEB.xml"
"Reliance Chemotex Industries Limited","67.68","32.32","0","-","31-DEC-2022","05-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173408_755921_05012023110616_WEB.xml"
"Coal India Limited","66.13","33.87","0","-","31-DEC-2022","05-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173418_756163_05012023031150_WEB.xml"
"Inspirisys Solutions Limited","69.95","30.05","0","-","31-DEC-2022","05-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173419_756175_05012023032723_WEB.xml"
"Agro Phos India Limited","54.27","45.73","0","-","31-DEC-2022","05-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173420_756206_05012023040856_WEB.xml"
"GTPL Hathway Limited","75","25","0","-","31-DEC-2022","06-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173445_756552_06012023120216_WEB.xml"
"Usha Martin Limited","48.3","51.7","0","-","31-DEC-2022","06-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173446_756554_06012023120529_WEB.xml"
"Sarthak Metals Limited","69.83","30.17","0","-","31-DEC-2022","06-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173452_756662_06012023014226_WEB.xml"
"Pansari Developers Limited","73.88","26.12","0","-","31-DEC-2022","06-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173453_756667_06012023014355_WEB.xml"
"Varroc Engineering Limited","75","25","0","-","31-DEC-2022","06-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173454_756752_06012023024706_WEB.xml"
"The New India Assurance Company Limited","85.44","14.56","0","-","31-DEC-2022","06-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173462_756925_06012023035400_WEB.xml"
"Beta Drugs Limited","66.71","33.29","0","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173546_758423_09012023010220_WEB.xml"
"NCL Industries Limited","46.48","53.52","0","-","31-DEC-2022","04-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173401_755729_04012023053633_WEB.xml"
"LCC Infotech Limited","45.84","54.16","0","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173547_758454_09012023011557_WEB.xml"
"GVK Power & Infrastructure Limited","54.25","45.75","0","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173548_758469_09012023012035_WEB.xml"
"Vishnu Chemicals Limited","75","25","0","-","31-DEC-2022","07-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173509_757712_07012023030451_WEB.xml"
"Times Guaranty Limited","74.92","25.08","0","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173549_758525_09012023015636_WEB.xml"
"DCM Nouvelle Limited","50.11","49.89","0","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173550_758528_09012023015945_WEB.xml"
"TV Today Network Limited","58.45","41.55","0","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173551_758535_09012023020215_WEB.xml"
"Zydus Wellness Limited","65.35","34.65","0","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173552_758548_09012023021339_WEB.xml"
"Gujarat Industries Power Company Limited","55.69","44.31","0","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173553_758552_09012023021449_WEB.xml"
"Zydus Lifesciences Limited","74.98","25.02","0","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173554_758567_09012023022136_WEB.xml"
"Wonderla Holidays Limited","69.74","30.26","0","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173556_758599_09012023024455_WEB.xml"
"Aarvi Encon Limited","73.47","26.53","0","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173558_758621_09012023025013_WEB.xml"
"Dhunseri Ventures Limited","75","25","0","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173559_758629_09012023025335_WEB.xml"
"Munjal Showa Limited","65.02","34.98","0","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173560_758640_09012023025705_WEB.xml"
"Indo-National Limited","65.35","34.65","0","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173561_758657_09012023030314_WEB.xml"
"Kuantum Papers Limited","70.3","29.7","0","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173562_758668_09012023030616_WEB.xml"
"Procter & Gamble Hygiene and Health Care Limited","70.64","29.36","0","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173563_758708_09012023031708_WEB.xml"
"Fairchem Organics Limited","58.88","41.12","0","-","31-DEC-2022","07-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173497_757501_07012023114640_WEB.xml"
"Laurus Labs Limited","27.2","72.8","0","-","31-DEC-2022","07-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173498_757530_07012023121243_WEB.xml"
"Ganga Forging Limited","59.53","40.47","0","-","31-DEC-2022","07-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173499_757544_07012023123156_WEB.xml"
"Taj GVK Hotels & Resorts Limited","74.99","25.01","0","-","31-DEC-2022","05-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173409_755959_05012023114758_WEB.xml"
"Akshar Spintex Limited","43.75","56.25","0","-","31-DEC-2022","05-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173413_756074_05012023011223_WEB.xml"
"Vadilal Industries Limited","64.73","35.27","0","-","31-DEC-2022","05-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173425_756261_05012023044159_WEB.xml"
"Thirumalai Chemicals Limited","42","58","0","-","31-DEC-2022","05-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173438_756435_05012023114910_WEB.xml"
"City Union Bank Limited","0","100","0","-","31-DEC-2022","06-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173451_756643_06012023012144_WEB.xml"
"Rane (Madras) Limited","72.65","27.35","0","-","31-DEC-2022","06-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173483_757348_06012023064856_WEB.xml"
"Rane Holdings Limited","46.57","53.43","0","-","31-DEC-2022","06-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173484_757350_06012023065402_WEB.xml"
"JSW Ispat Special Products Limited","53.17","46.83","0","-","31-DEC-2022","06-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173485_757356_06012023065709_WEB.xml"
"Rane Engine Valve Limited","55.12","44.88","0","-","31-DEC-2022","06-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173486_757360_06012023065804_WEB.xml"
"Rane Brake Lining Limited","70.93","29.07","0","-","31-DEC-2022","06-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173487_757364_06012023070109_WEB.xml"
"DLF Limited","74.95","25.05","0","-","31-DEC-2022","06-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173490_757401_06012023081255_WEB.xml"
"Gokul Refoils and Solvent Limited","72.09","27.91","0","-","31-DEC-2022","05-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173415_756143_05012023025536_WEB.xml"
"SMVD Poly Pack Limited","65.53","34.47","0","-","31-DEC-2022","05-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173416_756147_05012023025825_WEB.xml"
"Granules India Limited","42.02","57.98","0","-","31-DEC-2022","05-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173422_756240_05012023043232_WEB.xml"
"Tembo Global Industries Limited","65.34","34.66","0","-","31-DEC-2022","05-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173423_756248_05012023043400_WEB.xml"
"Cheviot Company Limited","74.83","25.17","0","-","31-DEC-2022","05-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173424_756253_05012023043451_WEB.xml"
"Tirupati Forge Limited","57.59","42.41","0","-","31-DEC-2022","05-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173433_756364_05012023055514_WEB.xml"
"Aptus Value Housing Finance India Limited","62.21","37.79","0","-","31-DEC-2022","06-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173439_756458_06012023102758_WEB.xml"
"Tata Teleservices (Maharashtra) Limited","74.36","25.64","0","-","31-DEC-2022","06-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173440_756467_06012023103535_WEB.xml"
"Kanpur Plastipack Limited","66.73","33.27","0","-","31-DEC-2022","06-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173441_756473_06012023105457_WEB.xml"
"Zenith Steel Pipes & Industries Limited","15.64","84.36","0","-","31-DEC-2022","06-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173447_756592_06012023122925_WEB.xml"
"HEC Infra Projects Limited","73.2","26.8","0","-","31-DEC-2022","06-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173448_756615_06012023125808_WEB.xml"
"Dharani Sugars & Chemicals Limited","61.55","38.45","0","-","31-DEC-2022","06-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173449_756622_06012023010220_WEB.xml"
"Anmol India Limited","57.08","42.92","0","-","31-DEC-2022","06-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173450_756627_06012023010837_WEB.xml"
"Indian Overseas Bank","96.38","3.62","0","-","31-DEC-2022","06-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173458_756809_06012023031405_WEB.xml"
"Hisar Metal Industries Limited","61.02","38.98","0","-","31-DEC-2022","06-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173460_756843_06012023032309_WEB.xml"
"MIC Electronics Limited","74.63","25.37","0","-","31-DEC-2022","06-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173461_756871_06012023033031_WEB.xml"
"HP Adhesives Limited","71.35","28.65","0","-","31-DEC-2022","06-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173465_756979_06012023042302_WEB.xml"
"Saregama India Limited","58.49","41.36","0.15","-","31-DEC-2022","06-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173466_757021_06012023044340_WEB.xml"
"Ujjivan Small Finance Bank Limited","73.68","26.32","0","-","31-DEC-2022","06-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173467_757033_06012023044806_WEB.xml"
"MMP Industries Limited","74.48","25.52","0","-","31-DEC-2022","06-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173468_757050_06012023045114_WEB.xml"
"D. P. Abhushan Limited","74.73","25.27","0","-","31-DEC-2022","06-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173469_757066_06012023045546_WEB.xml"
"Gujarat Fluorochemicals Limited","63.81","36.19","0","-","31-DEC-2022","06-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173470_757079_06012023045806_WEB.xml"
"ACC Limited","56.69","43.31","0","-","31-DEC-2022","06-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173471_757082_06012023045837_WEB.xml"
"Firstsource Solutions Limited","53.66","43.98","2.37","-","31-DEC-2022","06-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173473_757149_06012023051852_WEB.xml"
"Heritage Foods Limited","39.21","60.79","0","-","31-DEC-2022","06-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173474_757162_06012023052118_WEB.xml"
"Malu Paper Mills Limited","69.95","30.05","0","-","31-DEC-2022","06-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173479_757278_06012023061043_WEB.xml"
"Celestial Biolabs Limited","26.07","73.93","0","-","31-DEC-2022","06-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173480_757284_06012023061318_WEB.xml"
"Bal Pharma Limited","51.61","48.39","0","-","31-DEC-2022","05-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173427_756304_05012023051248_WEB.xml"
"Ausom Enterprise Limited","73.7","26.3","0","-","31-DEC-2022","05-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173428_756313_05012023051708_WEB.xml"
"Nectar Lifesciences Limited","55.8","44.2","0","-","31-DEC-2022","05-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173430_756330_05012023052927_WEB.xml"
"Apollo Hospitals Enterprise Limited","29.33","70.67","0","-","31-DEC-2022","05-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173431_756333_05012023053421_WEB.xml"
"Valiant Organics Limited","38.41","61.59","0","-","31-DEC-2022","06-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173475_757168_06012023052154_WEB.xml"
"Damodar Industries Limited","70.63","29.37","0","-","31-DEC-2022","06-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173476_757180_06012023052433_WEB.xml"
"Bannari Amman Sugars Limited","58.7","41.3","0","-","31-DEC-2022","06-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173477_757207_06012023053441_WEB.xml"
"Canara Bank","62.93","37.07","0","-","31-DEC-2022","06-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173478_757267_06012023060748_WEB.xml"
"Shaival Reality Limited","72.63","27.37","0","-","31-DEC-2022","06-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173488_757378_06012023072921_WEB.xml"
"Crown Lifters Limited","75","25","0","-","31-DEC-2022","06-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173489_757386_06012023073356_WEB.xml"
"HPL Electric & Power Limited","72.66","27.34","0","-","31-DEC-2022","07-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173500_757560_07012023124521_WEB.xml"
"Steelcast Limited","46.07","53.93","0","-","31-DEC-2022","07-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173501_757568_07012023125415_WEB.xml"
"Alpa Laboratories Limited","57.29","42.71","0","-","31-DEC-2022","07-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173510_757730_07012023031457_WEB.xml"
"Aries Agro Limited","52.66","47.34","0","-","31-DEC-2022","07-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173511_757735_07012023031659_WEB.xml"
"Ujjivan Financial Services Limited","0","100","0","-","31-DEC-2022","07-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173512_757761_07012023032649_WEB.xml"
"Gujarat State Fertilizers & Chemicals Limited","37.84","62.16","0","-","31-DEC-2022","07-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173513_757798_07012023035828_WEB.xml"
"Linc Limited","58.83","41.17","0","-","31-DEC-2022","07-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173514_757805_07012023040045_WEB.xml"
"Ashiana Housing Limited","61.22","38.78","0","-","31-DEC-2022","07-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173515_757829_07012023041018_WEB.xml"
"Lambodhara Textiles Limited","73.17","26.83","0","-","31-DEC-2022","07-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173516_757868_07012023043446_WEB.xml"
"DRC Systems India Limited","22.57","77.43","0","-","31-DEC-2022","07-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173519_757936_07012023051856_WEB.xml"
"The Grob Tea Company Limited","74.93","25.08","0","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173525_758111_09012023110401_WEB.xml"
"SKM Egg Products Export (India) Limited","55.56","44.44","0","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173530_758193_09012023114000_WEB.xml"
"Aro Granite Industries Limited","41.06","58.94","0","-","31-DEC-2022","07-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173504_757650_07012023020613_WEB.xml"
"Patanjali Foods Limited","80.82","19.18","0","-","31-DEC-2022","07-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173505_757661_07012023022309_WEB.xml"
"Xpro India Limited","50.02","49.98","0","-","31-DEC-2022","07-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173506_757668_07012023022424_WEB.xml"
"United Breweries Limited","72.71","27.29","0","-","31-DEC-2022","07-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173507_757671_07012023022719_WEB.xml"
"PPAP Automotive Limited","65.01","34.99","0","-","31-DEC-2022","07-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173517_757885_07012023044516_WEB.xml"
"GI Engineering Solutions Limited","40.89","59.11","0","-","31-DEC-2022","07-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173518_757917_07012023050628_WEB.xml"
"L&T Technology Services Limited","73.85","26.15","0","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173526_758162_09012023112428_WEB.xml"
"United Drilling Tools Limited","74.65","25.35","0","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173528_758178_09012023113504_WEB.xml"
"India Tourism Development Corporation Limited","87.03","12.97","0","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173529_758182_09012023113720_WEB.xml"
"Symphony Limited","73.25","26.75","0","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173531_758211_09012023114451_WEB.xml"
"Hindustan Motors Limited","32.34","67.66","0","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173533_758232_09012023114845_WEB.xml"
"DIC India Limited","71.75","28.25","0","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173534_758279_09012023121138_WEB.xml"
"Dhunseri Tea & Industries Limited","68.9","31.1","0","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173535_758281_09012023121141_WEB.xml"
"Tide Water Oil Company (India) Limited","57.28","40.26","2.46","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173536_758291_09012023121403_WEB.xml"
"Shakti Pumps (India) Limited","55.95","44.05","0","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173537_758300_09012023122145_WEB.xml"
"Cupid Limited","45.06","54.94","0","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173538_758308_09012023122318_WEB.xml"
"Mask Investments Limited","72.25","27.75","0","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173540_758350_09012023123522_WEB.xml"
"Havells India Limited","59.45","40.54","0.01","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173541_758362_09012023123837_WEB.xml"
"Panama Petrochem Limited","70.36","29.64","0","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173542_758369_09012023124219_WEB.xml"
"Winsome Yarns Limited","38.67","61.33","0","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173543_758396_09012023124956_WEB.xml"
"The Jammu & Kashmir Bank Limited","68.03","31.97","0","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173544_758416_09012023010041_WEB.xml"
"Pritika Auto Industries Limited","48.14","51.86","0","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173545_758420_09012023010128_WEB.xml"
"NELCO Limited","50.09","49.91","0","Revised","31-DEC-2022","06-JAN-2023","12-JAN-2023","https://archives.nseindia.com/corporate/xbrl/SHP_173442_756475_06012023105604_WEB.xml"
"Nuvoco Vistas Corporation Limited","71.79","28.21","0","-","31-DEC-2022","12-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174051_764475_12012023061117_WEB.xml"
"Mahanagar Gas Limited","32.5","67.5","0","-","31-DEC-2022","12-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174052_764492_12012023061614_WEB.xml"
"Parag Milk Foods Limited","41.63","58.22","0.15","-","31-DEC-2022","12-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174053_764495_12012023061635_WEB.xml"
"Subros Limited","36.79","63.21","0","-","31-DEC-2022","12-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174054_764499_12012023061747_WEB.xml"
"Torrent Power Limited","53.57","46.43","0","-","31-DEC-2022","12-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174055_764506_12012023061824_WEB.xml"
"Lux Industries Limited","74.19","25.81","0","-","31-DEC-2022","12-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174056_764518_12012023061940_WEB.xml"
"MIRC Electronics Limited","53.36","46.64","0","-","31-DEC-2022","12-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174057_764554_12012023063201_WEB.xml"
"Digicontent Limited","64.9","34.82","0.28","-","31-DEC-2022","12-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174059_764576_12012023063852_WEB.xml"
"Syngene International Limited","64.86","34.67","0.47","-","31-DEC-2022","12-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174060_764578_12012023063934_WEB.xml"
"Intense Technologies Limited","18.08","81.92","0","-","31-DEC-2022","16-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174409_768464_16012023074143_WEB.xml"
"Medicamen Biotech Limited","43.21","56.79","0","-","31-DEC-2022","16-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174386_768144_16012023054318_WEB.xml"
"Pioneer Embroideries Limited","32.86","67.14","0","-","31-DEC-2022","16-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174387_768155_16012023054543_WEB.xml"
"Kirloskar Electric Company Limited","49.51","50.49","0","-","31-DEC-2022","16-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174388_768158_16012023054631_WEB.xml"
"Max Ventures and Industries Limited","49.52","50.48","0","-","31-DEC-2022","16-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174389_768166_16012023054724_WEB.xml"
"Cipla Limited","33.61","66.39","0","-","31-DEC-2022","16-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174390_768180_16012023055022_WEB.xml"
"Elin Electronics Limited","32.93","67.07","0","-","31-DEC-2022","16-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174391_768205_16012023055535_WEB.xml"
"Indo Count Industries Limited","58.74","41.26","0","-","31-DEC-2022","16-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174392_768215_16012023060205_WEB.xml"
