"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION"
"Kilitch Drugs (India) Limited","68.25","31.75","0","-","31-DEC-2022","10-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173709_760788_10012023044838_WEB.xml"
"Lupin Limited","47.1","52.9","0","-","31-DEC-2022","10-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173710_760795_10012023045239_WEB.xml"
"Computer Age Management Services Limited","19.92","80.08","0","-","31-DEC-2022","10-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173711_760801_10012023045306_WEB.xml"
"Total Transport Systems Limited","48.13","51.87","0","-","31-DEC-2022","10-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173712_760827_10012023045748_WEB.xml"
"Antarctica Limited","14.85","85.15","0","-","31-DEC-2022","10-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173713_760855_10012023050423_WEB.xml"
"MITCON Consultancy & Engineering Services Limited","0","100","0","-","31-DEC-2022","10-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173714_760866_10012023050627_WEB.xml"
"GMM Pfaudler Limited","38.74","61.26","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173750_761308_11012023095016_WEB.xml"
"Accelya Solutions India Limited","74.66","25.34","0","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174241_766608_13012023081510_WEB.xml"
"Avenue Supermarts Limited","74.99","25.01","0","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174242_766620_13012023082721_WEB.xml"
"Power Mech Projects Limited","64.17","35.83","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174874_772409_19012023103914_WEB.xml"
"CEAT Limited","47.21","52.79","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174912_772649_19012023124301_WEB.xml"
